"Article" "Mean" "Maximum" "Total(Year)"
"Vertically transmitted infection" 149 1977 434425
"Right to health" 148 1753 432097
"Health communication" 147 1146 430447
"National health insurance" 146 1673 427729
"2009 swine flu pandemic vaccine" 141 2249 410779
"Community health worker" 140 744 410357
"Health information management" 140 767 408700
"Population health" 140 11999 410127
"Mental health professional" 139 663 405266
"History of health care reform in the United States" 138 896 402442
"Eye disease" 137 1132 399039
"Catholic Church and health care" 136 2562 398711
"Health effects of salt" 136 1225 398413
"High-deductible health plan" 136 805 396244
"Pott's disease" 135 1707 395828
"Canavan disease" 133 1444 387266
"Epidemiology of depression" 133 2581 389232
"Health information on Wikipedia" 133 1135 387613
"SARS-CoV-1" 133 743 389384
"Anaerobic infection" 132 679 385546
"Chlamydia pneumoniae" 130 1640 380245
"Effects of climate change on human health" 130 994 379981
"Environmental health officer" 130 816 379327
"Diseases of poverty" 128 2730 375096
"Classification of pneumonia" 127 2425 369790
"The Global Fund to Fight AIDS, Tuberculosis and Malaria" 127 3380 370056
"Cryptogenic organizing pneumonia" 126 939 368275
"Measles virus" 126 949 367065
"Public health insurance option" 126 5010 368449
"Health facility" 124 610 363195
"Ventilator-associated pneumonia" 124 688 361216
"Disease burden" 123 657 359125
"Kivu Ebola epidemic" 121 7059 354931
"Nutrition and pregnancy" 121 5956 354744
"Vegan nutrition" 121 2153 354795
"Binswanger's disease" 120 1230 349776
"Animal nutrition" 119 7774 346368
"United States Senate Committee on Health, Education, Labor and Pensions" 119 6472 346397
"Epidemiology of suicide" 118 1585 344125
"List of childhood diseases and disorders" 118 436 346226
"List of pollution-related diseases" 117 1305 343183
"Skin infection" 117 626 341425
"Darier's disease" 116 1477 337534
"Epidemiology of schizophrenia" 116 9722 337824
"Notifiable disease" 115 1735 336421
"List of healthcare occupations" 114 381 332902
"Psychogenic disease" 114 1158 334409
"Globalization and disease" 113 2027 331443
"Heat illness" 113 1576 328803
"One Health" 113 1847 331048
"Mental health during the COVID-19 pandemic" 112 1637 328509
"Mycoplasma pneumonia" 112 2177 327328
"Publicly funded health care" 112 1122 327453
"Alexander disease" 111 1005 325736
"Capitation (healthcare)" 111 693 325063
"Pandemic severity index" 111 5951 324461
"Universal health care by country" 111 11031 323114
"Medical students' disease" 110 1961 320529
"Vogt–Koyanagi–Harada disease" 108 697 315873
"Health and Social Care Act 2012" 107 2366 313262
"Health literacy" 107 1188 313062
