"Article" "Mean" "Maximum" "Total(Year)"
"Journal of Developmental Origins of Health and Disease" 2 53 6495
"Journal of Epidemiology and Biostatistics" 2 23 7103
"Kids for World Health" 2 237 7244
"Leveraging Agriculture for Improving Nutrition and Health" 2 45 6616
"Liverpool Neurological Infectious Diseases Course" 2 41 6328
"Maidstone typhoid epidemic" 2 92 5963
"Malaria in Benin" 2 39 5429
"Malaria in Madagascar" 2 39 6046
"Malnutrition in Nigeria" 2 139 4761
"Maternal oral health" 2 46 7191
"Mental health consequences of immigration detention" 2 63 4640
"Mental health in Malaysia" 2 68 7135
"Mental health in Uzbekistan" 2 109 7061
"National Health Insurance Joint Committee" 2 27 5556
"National Institute of Public Health – National Institute of Hygiene" 2 64 4957
"National School of Public Health (Spain)" 2 22 6951
"Notifiable diseases in Switzerland" 2 45 4410
"Occupational infectious disease" 2 222 5935
"Osong Public Health and Research Perspectives" 2 59 5887
"Pando Health" 2 61 7154
"Portfolio Committee on Health" 2 70 5864
"Qapqal disease" 2 45 6908
"Rapid Reviews: Infectious Diseases" 2 49 4875
"South Texas Center for Emerging Infectious Diseases" 2 44 7235
"Technology in mental disorder treatment" 2 752 6530
"Template:Blood-disease-stub" 2 33 6741
"Template:Ear-disease-stub" 2 14 5080
"Template:Eye-disease-stub" 2 26 5428
"Template:Genitourinary-disease-stub" 2 44 5985
"Template:Infectious-disease-stub" 2 24 6517
"Template:Mental-health-stub" 2 125 5917
"Template:Tick-borne diseases and infestations" 2 37 4955
"Template:Vertically transmitted infection" 2 32 6488
"The Lancet Global Health" 2 111 6811
"The Oxcap MH measure of health" 2 61 4830
"1866 Finnish typhus epidemic" 1 56 3713
"1934-35 malaria outbreak in Ceylon" 1 90 3005
"580 dysentery epidemic in Gaul" 1 56 3660
"Acoustic epidemiology" 1 123 4310
"Against Malaria Foundation Korea" 1 202 3350
"Agriculture, Nutrition and Health Academy" 1 202 4174
"Air pollution in Islamabad" 1 93 3642
"Air pollution in Peshawar" 1 84 3991
"Christian Health Association of Malawi" 1 287 3535
"Climate change and sexual and reproductive health and rights in Africa" 1 69 3654
"Destruction of the healthcare system" 1 240 4320
"Disease package" 1 27 3555
"Edesia Nutrition" 1 74 3249
"Epidemics Act" 1 119 4318
"European Health Management Association" 1 25 3315
"Federation of Health and Social Services" 1 52 3795
"Health effects of green tea" 1 13 3535
"Health effects of sugary drinks" 1 21 3422
"Health emergencies" 1 20 4026
"Health policy and systems research" 1 94 3066
"Healthcare reforms proposed during the Obama administration" 1 68 3546
"History of public health in Chicago" 1 294 3276
"History of public health in New York City" 1 308 3698
"Journal of Communication in Healthcare" 1 88 4359
"Journal of the Academy of Public Health" 1 238 2967
"Labor Unit of Nurses and Health Employees" 1 42 3116
"List of Dr Lee Jong-wook Memorial Prize for Public Health recipients" 1 44 3026
"List of Sasakawa Health Prize recipients" 1 56 3777
"Medical officer of environmental health" 1 82 3115
"Mental health in Belize" 1 17 3479
"Mental health in Haiti" 1 15 3384
"Mental health in Hong Kong" 1 11 3387
"Mental health in Indonesia" 1 37 4297
"Mental health in Lebanon" 1 16 4295
"Mental health in Liberia" 1 14 3458
"Mental health in Norway" 1 15 3813
"Mental health in Pakistan" 1 17 4017
"Mental health in Senegal" 1 15 3401
"Mental health in Sierra Leone" 1 13 3405
"Mental health in Tajikistan" 1 18 3969
"Mineral Nutrition of Plants: Principles and Perspectives" 1 66 4257
"Mycoplasma pneumoniae infection" 1 24 3490
"National Center for Disease Control and Public Health" 1 46 3920
"National Federation of Local Authority and Healthcare Workers" 1 53 3691
"Norwegian Association of Health and Social Care Personnel" 1 119 4305
"Pediatric environmental health" 1 151 3314
"Pharmacoepidemiology and Drug Safety" 1 46 3450
"Public Health Institute of Malawi" 1 192 3254
"Sweating sickness epidemics" 1 7 3922
"Template:Epidemic-stub" 1 124 4381
"Template:Gram-positive Actinomycetota diseases" 1 40 4068
"Tolerated illness" 1 22 3466
"Typhus epidemic in Goose Village, Montreal" 1 11 3630
"Unified Health System" 1 100 3945
"Union of Healthcare" 1 43 3964
"United to Beat Malaria" 1 33 3978
"Wikipedia:Knowledge gaps in women's health" 1 56 3051
